country,year,happiness_rank,happiness_score,gdp_per_capita,social_support,life_expectancy,freedom,perception_of_corruption,generosity,electricity_access_pc,prim_school_enrol_rate,ARV_coverage,battle_deaths,birth_rate,child_labour_pc,children_not_in_school_pc,CPI,GDP_growth,gini_index,income_top_10pc,income_bottom_10pc,internet_coverage,under5_mortality,smokers_pc,male_femaLe_labour_force_part,real_eff_xr,renew_elect_output,rural_pop_pc,youth_not_in_ed_emply,suicide_mortality,time_to_start_bus,alcohol_cons_percap,unemployment_pc,women_married_by_15,country,region,region
Switzerland,2015,1,7.587,1.39651,1.34951,0.94143,0.66557,0.41978,0.29678,100,99.63,74.0,,10.5,,0.03,98.17,1.64,32.3,25.2,3.2,87.48,4.3,26.2,83.91,110.48,62.2,26.28,9.35,15,10,10.69,4.8,,Switzerland,"Western Europe","Western Europe"
Iceland,2015,2,7.561,1.30232,1.40223,0.94784,0.62877,0.14145,0.4363,100,98.64,76.0,,12.5,,1.26,117.85,4.44,26.8,22.5,3.9,98.2,2.6,15.2,92.33,113.76,99.98,6.3,4.55,14.3,12,7.85,3.98,,Iceland,"Western Europe","Western Europe"
Denmark,2015,3,7.527,1.32548,1.36058,0.87464,0.64938,0.48357,0.34139,100,98.69,79.0,,10.2,,0.63,107.13,2.34,28.2,23.8,3.7,96.33,4.1,21.1,85.93,94.43,65.51,12.47,7.03,10.9,3.5,9.61,6.28,,Denmark,"Western Europe","Western Europe"
Norway,2015,4,7.522,1.459,1.33095,0.88521,0.66973,0.36503,0.34699,100,99.77,90.0,,11.3,,0.55,108.59,1.86,27.5,22.3,3.5,96.81,2.7,20.7,92.06,84.25,97.71,18.91,5.03,12.5,4,6.83,4.3,,Norway,"Western Europe","Western Europe"
Canada,2015,5,7.427,1.32629,1.32261,0.90563,0.63297,0.32957,0.45811,100,99.59,,,10.7,,0.29,108.67,0.65,33.7,25.5,2.5,90,5.4,15.8,86.55,83.27,63.01,18.74,13.27,13,1.5,9.92,6.95,,Canada,"North America","North America"
Finland,2015,6,7.406,1.29025,1.31826,0.88911,0.64169,0.41372,0.23351,100,99.2,,,10.1,,1.6,108.79,0.54,27.1,22.4,3.8,86.42,2.5,24.5,89.02,96.1,44.5,14.78,10.56,14,17,9.43,9.38,,Finland,"Western Europe","Western Europe"
Netherlands,2015,7,7.378,1.32944,1.28017,0.89284,0.61576,0.31814,0.4761,100,,79.0,,10.1,,,109.18,1.96,28.2,23.0,3.5,91.72,4.1,24.6,83.85,95.96,12.44,9.83,4.67,11.8,3.5,9.38,6.87,,Netherlands,"Western Europe","Western Europe"
Sweden,2015,8,7.364,1.33171,1.28907,0.91087,0.6598,0.43844,0.36262,100,99.64,,,11.7,,0.8,103.59,4.49,29.2,22.9,2.9,90.61,2.9,27.9,93.38,93.24,63.26,13.45,6.72,15.7,7,9.45,7.43,,Sweden,"Western Europe","Western Europe"
"New Zealand",2015,9,7.286,1.25018,1.31967,0.90837,0.63938,0.42922,0.47501,100,97.73,69.0,,13.23,,1.17,107.94,3.74,,,,85.2,5.5,16.5,85.19,105.13,80.08,13.66,11.54,11.7,0.5,9.69,5.42,,"New Zealand","Australia and New Zealand","Australia and New Zealand"
Australia,2015,10,7.284,1.33358,1.30923,0.93156,0.65124,0.35637,0.43562,100,97.11,78.0,,12.9,,0.03,112.04,2.2,,,,84.56,3.9,15.7,83.15,89.82,13.64,14.3,9.8,13.2,2.5,10.39,6.06,,Australia,"Australia and New Zealand","Australia and New Zealand"
Israel,2015,11,7.278,1.22857,1.22393,0.91387,0.41319,0.07785,0.33172,100,97.56,,,21.3,,2.55,106.74,2.49,39.7,28.6,1.8,77.35,3.9,23.4,84.39,101.84,1.89,7.82,14.31,4.5,12,2.94,5.18,,Israel,"Middle East and Northern Africa","Middle East and Northern Africa"
"Costa Rica",2015,12,7.226,0.95578,1.23788,0.86027,0.63376,0.10583,0.25497,99.41,97.82,47.0,,14.52,,5.91,121.5,3.65,48.4,36.8,1.5,59.76,9.1,10.5,65.83,114.75,99,23.14,18.65,6.7,23,3.5,8.42,,"Costa Rica","Latin America and Caribbean","Latin America and Caribbean"
Austria,2015,13,7.2,1.33723,1.29704,0.89042,0.62433,0.18676,0.33088,100,88.63,,,9.8,,1.34,110.69,1.01,30.5,23.8,3.0,83.94,3.7,31.2,83.93,98.33,76.49,42.28,11.04,16,22,12.19,5.8,,Austria,"Western Europe","Western Europe"
